time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000036,-0.000001,-0.005507
0.010000,-0.000000,-0.000051,-0.000015,-0.004346
0.015000,-0.000000,-0.000078,-0.000051,-0.003535
0.020000,-0.000001,-0.000166,-0.000118,-0.014513
0.025000,-0.000002,-0.000248,-0.000207,-0.013423
0.030000,-0.000003,-0.000299,-0.000296,-0.012481
0.035000,-0.000005,-0.000368,-0.000359,-0.011245
0.040000,-0.000006,-0.000385,-0.000370,-0.008889
0.045000,-0.000008,-0.000435,-0.000310,-0.008595
0.050000,-0.000009,-0.000441,-0.000164,-0.004449
0.055000,-0.000009,-0.000477,0.000073,-0.007065
0.060000,-0.000008,-0.000682,0.000394,-0.016381
0.065000,-0.000005,-0.000778,0.000787,-0.017757
0.070000,0.000000,-0.000750,0.001249,-0.012215
0.075000,0.000008,-0.000809,0.001790,-0.009179
0.080000,0.000019,-0.000555,0.002420,0.005748
0.085000,0.000033,-0.000517,0.003133,0.006455
0.090000,0.000051,-0.000267,0.003893,0.016847
0.095000,0.000073,-0.000168,0.004661,0.015791
0.100000,0.000098,-0.000063,0.005396,0.018188
0.105000,0.000128,0.002497,0.006094,0.132449
0.110000,0.000160,0.003155,0.006705,0.128211
0.115000,0.000195,0.003915,0.007100,0.127224
0.120000,0.000231,0.004428,0.007133,0.125763
0.125000,0.000265,0.005192,0.006671,0.127830
0.130000,0.000295,0.005704,0.005610,0.128332
0.135000,0.000319,0.006475,0.003902,0.127956
0.140000,0.000331,0.006976,0.001513,0.124706
0.145000,0.000330,0.007708,-0.001571,0.120159
0.150000,0.000311,0.008120,-0.005286,0.113009
0.155000,0.000272,0.008768,-0.009623,0.104778
0.160000,0.000209,0.008982,-0.014541,0.090699
0.165000,0.000121,0.009505,-0.019894,0.084519
0.170000,0.000004,0.009854,-0.025602,0.077179
0.175000,-0.000142,0.010282,-0.031601,0.068801
0.180000,-0.000318,0.010633,-0.037872,0.067947
0.185000,-0.000527,0.011028,-0.044270,0.063435
0.190000,-0.000768,0.011417,-0.050645,0.060931
0.195000,-0.001040,0.011754,-0.057118,0.053971
0.200000,-0.001345,0.012002,-0.063645,0.051336
0.205000,-0.001683,-0.000471,-0.069923,-0.020100
0.210000,-0.002050,-0.000575,-0.075850,-0.027793
0.215000,-0.002446,-0.000765,-0.081411,-0.032742
0.220000,-0.002869,-0.000923,-0.086608,-0.036067
0.225000,-0.003316,-0.001168,-0.091273,-0.042641
0.230000,-0.003785,-0.001352,-0.095413,-0.050570
0.235000,-0.004273,-0.001659,-0.099015,-0.052149
0.240000,-0.004778,-0.001868,-0.102064,-0.053293
0.245000,-0.005296,-0.002188,-0.104657,-0.053811
0.250000,-0.005826,-0.002548,-0.106847,-0.069575
0.255000,-0.006366,-0.002982,-0.108611,-0.072881
0.260000,-0.006913,-0.003457,-0.109960,-0.086630
0.265000,-0.007466,-0.003993,-0.110832,-0.091130
0.270000,-0.008021,-0.004214,-0.111189,-0.082576
0.275000,-0.008577,-0.004723,-0.111006,-0.085738
0.280000,-0.009130,-0.004988,-0.110269,-0.084192
0.285000,-0.009677,-0.005502,-0.108998,-0.085874
0.290000,-0.010217,-0.005807,-0.107217,-0.085669
0.295000,-0.010747,-0.006315,-0.104961,-0.083558
0.300000,-0.011264,-0.006698,-0.102261,-0.083362
0.305000,-0.011766,-0.017627,-0.099127,-0.101330
0.310000,-0.012251,-0.018328,-0.095596,-0.093103
0.314999,-0.012717,-0.018867,-0.091702,-0.089932
0.319999,-0.013163,-0.019321,-0.087439,-0.082733
0.324999,-0.013587,-0.019797,-0.082865,-0.075695
0.329999,-0.013987,-0.020026,-0.077994,-0.083215
0.334999,-0.014361,-0.020495,-0.072861,-0.075953
0.339999,-0.014710,-0.020869,-0.067471,-0.096514
0.344999,-0.015030,-0.021430,-0.061746,-0.092458
0.349999,-0.015321,-0.021804,-0.055748,-0.091824
0.354999,-0.015581,-0.022331,-0.049571,-0.085794
0.359999,-0.015810,-0.022629,-0.043116,-0.079669
0.364999,-0.016005,-0.023096,-0.036446,-0.077907
0.369999,-0.016167,-0.023127,-0.029470,-0.062701
0.374999,-0.016292,-0.023472,-0.022183,-0.054170
0.379999,-0.016380,-0.023618,-0.014507,-0.046775
0.384999,-0.016429,-0.023871,-0.006519,-0.039092
0.389999,-0.016437,-0.024030,0.001699,-0.036095
0.394998,-0.016404,-0.024213,0.010004,-0.027758
0.399998,-0.016329,-0.023977,0.018174,-0.008250
0.404998,-0.016213,-0.016943,0.026448,0.087860
0.409998,-0.016056,-0.016624,0.034670,0.095384
0.414998,-0.015859,-0.016020,0.042534,0.103144
0.419998,-0.015624,-0.015668,0.049968,0.112255
0.424998,-0.015353,-0.014961,0.056916,0.121110
0.429998,-0.015049,-0.014433,0.063246,0.121044
0.434998,-0.014716,-0.013698,0.068891,0.123224
0.439998,-0.014356,-0.013205,0.073781,0.120062
0.444998,-0.013975,-0.012458,0.077841,0.125814
0.449998,-0.013576,-0.012093,0.081041,0.112648
0.454998,-0.013163,-0.011394,0.083348,0.118843
0.459998,-0.012742,-0.010853,0.084766,0.125518
0.464998,-0.012316,-0.010089,0.085350,0.128583
0.469997,-0.011890,-0.009181,0.085160,0.147904
0.474997,-0.011466,-0.008308,0.084241,0.145909
0.479997,-0.011050,-0.007537,0.082669,0.154322
0.484997,-0.010643,-0.006634,0.080478,0.150053
0.489997,-0.010248,-0.006206,0.077675,0.142998
0.494997,-0.009870,-0.005383,0.074312,0.135182
0.499997,-0.009510,-0.004802,0.070450,0.130612
0.504997,-0.009171,-0.004016,0.065875,0.152956
0.509997,-0.008857,-0.003459,0.060578,0.147770
0.514997,-0.008572,-0.002595,0.054631,0.141771
0.519997,-0.008318,-0.002044,0.048093,0.135541
0.524997,-0.008098,-0.001271,0.041175,0.124865
0.529997,-0.007914,-0.000783,0.033922,0.118189
0.534997,-0.007767,-0.000115,0.026441,0.107352
0.539997,-0.007658,0.000299,0.018738,0.099765
0.544997,-0.007587,0.000847,0.010878,0.086913
0.549996,-0.007557,0.001183,0.002868,0.082202
0.554996,-0.007567,0.001613,-0.005271,0.067220
0.559996,-0.007618,0.001882,-0.013454,0.060871
0.564996,-0.007710,0.002209,-0.021599,0.050380
0.569996,-0.007842,0.002325,-0.029587,0.039470
0.574996,-0.008013,0.002512,-0.037462,0.026770
0.579996,-0.008224,0.002597,-0.045270,0.019838
0.584996,-0.008473,0.002687,-0.052898,0.012898
0.589996,-0.008760,0.002681,-0.060377,0.005391
0.594996,-0.009084,0.002670,-0.067608,-0.005591
0.599996,-0.009443,0.002594,-0.074490,-0.014566
0.604996,-0.009835,0.022499,-0.081185,-0.045288
0.609996,-0.010261,0.022306,-0.087571,-0.050998
0.614996,-0.010717,0.021964,-0.093649,-0.060422
0.619996,-0.011202,0.021698,-0.099328,-0.064223
0.624996,-0.011715,0.021277,-0.104565,-0.073057
0.629995,-0.012252,0.020975,-0.109289,-0.078546
0.634995,-0.012812,0.020486,-0.113577,-0.082915
0.639995,-0.013391,0.020122,-0.117475,-0.090459
0.644995,-0.013989,0.019555,-0.120968,-0.095736
0.649995,-0.014604,0.019209,-0.124049,-0.094191
0.654995,-0.015232,0.018640,-0.126770,-0.096109
0.659995,-0.015873,0.018271,-0.129096,-0.095717
0.664995,-0.016525,0.017676,-0.131059,-0.099794
0.669995,-0.017185,0.017226,-0.132679,-0.104917
0.674995,-0.017852,0.016577,-0.133934,-0.109903
0.679995,-0.018525,0.015926,-0.134803,-0.122768
0.684995,-0.019200,0.015176,-0.135282,-0.126528
0.689995,-0.019877,0.014974,-0.135372,-0.110242
0.694995,-0.020553,0.014311,-0.135068,-0.109801
0.699995,-0.021227,0.013554,-0.134389,-0.125974
0.704994,-0.021895,0.013744,-0.133278,-0.148288
0.709994,-0.022557,0.012767,-0.131735,-0.139925
0.714994,-0.023210,0.011920,-0.129835,-0.140396
0.719994,-0.023853,0.011396,-0.127639,-0.142444
0.724994,-0.024484,0.010547,-0.125198,-0.140600
0.729994,-0.025102,0.010011,-0.122546,-0.142121
0.734994,-0.025707,0.009156,-0.119706,-0.142457
0.739994,-0.026296,0.008596,-0.116680,-0.132631
0.744994,-0.026870,0.007808,-0.113493,-0.129999
0.749994,-0.027427,0.007292,-0.110167,-0.128239
0.754994,-0.027968,0.006527,-0.106721,-0.127456
0.759994,-0.028491,0.006050,-0.103171,-0.125920
0.764994,-0.028996,0.005299,-0.099529,-0.123271
0.769994,-0.029483,0.004931,-0.095883,-0.112275
0.774994,-0.029951,0.004263,-0.092180,-0.109326
0.779994,-0.030401,0.003857,-0.088456,-0.105516
0.784993,-0.030832,0.003246,-0.084662,-0.098944
0.789993,-0.031243,0.002676,-0.080790,-0.103993
0.794993,-0.031636,0.002055,-0.076901,-0.103824
0.799993,-0.032008,0.001438,-0.072922,-0.109577
0.804993,-0.032360,0.015901,-0.068682,-0.012689
