time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000046,0.300105
0.010000,0.000073,0.300182
0.015000,0.000124,0.300305
0.020000,0.000204,0.300393
0.025000,0.000300,0.300535
0.030000,0.000365,0.300635
0.035000,0.000457,0.300795
0.040000,0.000492,0.300908
0.045000,0.000558,0.301087
0.050000,0.000581,0.301212
0.055000,0.000631,0.301409
0.060000,0.000815,0.301546
0.065000,0.000924,0.301762
0.070000,0.000916,0.301912
0.075000,0.000991,0.302146
0.080000,0.000821,0.302309
0.085000,0.000858,0.302562
0.090000,0.000798,0.302738
0.095000,0.000904,0.303010
0.100000,0.000992,0.303198
0.105000,0.031411,0.300938
0.110000,0.031567,0.301056
0.115000,0.031795,0.301238
0.120000,0.031960,0.301361
0.125000,0.032177,0.301551
0.130000,0.032327,0.301679
0.135000,0.032556,0.301877
0.140000,0.032719,0.302011
0.145000,0.033008,0.302216
0.150000,0.033185,0.302355
0.155000,0.033458,0.302569
0.160000,0.033614,0.302714
0.165000,0.033927,0.302936
0.170000,0.034135,0.303086
0.175000,0.034419,0.303316
0.180000,0.034651,0.303473
0.185000,0.035035,0.303711
0.190000,0.035327,0.303873
0.195000,0.035725,0.304121
0.200000,0.036031,0.304289
0.205000,0.020743,0.302010
0.210000,0.021323,0.302138
0.215000,0.022202,0.302332
0.220000,0.022800,0.302463
0.225000,0.023719,0.302663
0.230000,0.024347,0.302798
0.235000,0.025278,0.303003
0.240000,0.025913,0.303142
0.245000,0.026846,0.303353
0.250000,0.027447,0.303495
0.255000,0.028414,0.303712
0.260000,0.029007,0.303859
0.265000,0.029902,0.304082
0.270000,0.030508,0.304232
0.275000,0.031395,0.304461
0.280000,0.032018,0.304616
0.285000,0.032936,0.304851
0.290000,0.033558,0.305011
0.295000,0.034513,0.305252
0.300000,0.035124,0.305416
0.305000,0.042897,0.303104
0.310000,0.043533,0.303235
0.314999,0.044406,0.303434
0.319999,0.045013,0.303568
0.324999,0.045901,0.303771
0.329999,0.046474,0.303908
0.334999,0.047350,0.304116
0.339999,0.047936,0.304256
0.344999,0.048806,0.304469
0.349999,0.049362,0.304612
0.354999,0.050163,0.304830
0.359999,0.050697,0.304977
0.364999,0.051503,0.305200
0.369999,0.051977,0.305351
0.374999,0.052749,0.305579
0.379999,0.053249,0.305733
0.384999,0.053968,0.305967
0.389999,0.054438,0.306125
0.394998,0.055159,0.306365
0.399998,0.055592,0.306526
0.404998,0.049601,0.304188
0.409998,0.050274,0.304320
0.414998,0.051295,0.304520
0.419998,0.051972,0.304655
0.424998,0.052970,0.304860
0.429998,0.053620,0.304998
0.434998,0.054581,0.305206
0.439998,0.055218,0.305347
0.444998,0.056177,0.305560
0.449998,0.056796,0.305704
0.454998,0.057741,0.305922
0.459998,0.058380,0.306069
0.464998,0.059329,0.306292
0.469997,0.059975,0.306442
0.474997,0.060958,0.306670
0.479997,0.061654,0.306824
0.484997,0.062702,0.307057
0.489997,0.063383,0.307214
0.494997,0.064418,0.307452
0.499997,0.065122,0.307613
0.504997,0.052369,0.305253
0.509997,0.052421,0.305385
0.514997,0.052455,0.305586
0.519997,0.052484,0.305721
0.524997,0.052530,0.305926
0.529997,0.052568,0.306064
0.534997,0.052621,0.306273
0.539997,0.052675,0.306414
0.544997,0.052782,0.306627
0.549996,0.052840,0.306771
0.554996,0.052954,0.306988
0.559996,0.053031,0.307135
0.564996,0.053101,0.307358
0.569996,0.053108,0.307508
0.574996,0.053106,0.307735
0.579996,0.053115,0.307888
0.584996,0.053139,0.308121
0.589996,0.053156,0.308277
0.594996,0.053201,0.308515
0.599996,0.053221,0.308675
0.604996,0.060858,0.306295
0.609996,0.060900,0.306428
0.614996,0.060998,0.306628
0.619996,0.061082,0.306763
0.624996,0.061242,0.306968
0.629995,0.061354,0.307106
0.634995,0.061515,0.307315
0.639995,0.061626,0.307455
0.644995,0.061808,0.307668
0.649995,0.061943,0.307812
0.654995,0.062117,0.308029
0.659995,0.062250,0.308176
0.664995,0.062428,0.308398
0.669995,0.062529,0.308547
0.674995,0.062717,0.308774
0.679995,0.062728,0.308927
0.684995,0.062876,0.309158
0.689995,0.063130,0.309315
0.694995,0.063326,0.309551
0.699995,0.063293,0.309711
0.704994,0.038956,0.307314
0.709994,0.038774,0.307446
0.714994,0.039082,0.307647
0.719994,0.039342,0.307782
0.724994,0.039681,0.307986
0.729994,0.039937,0.308123
0.734994,0.040283,0.308332
0.739994,0.040528,0.308472
0.744994,0.040958,0.308685
0.749994,0.041261,0.308828
0.754994,0.041729,0.309045
0.759994,0.042066,0.309191
0.764994,0.042560,0.309412
0.769994,0.043007,0.309561
0.774994,0.043606,0.309788
0.779994,0.044033,0.309940
0.784993,0.044674,0.310171
0.789993,0.044979,0.310327
0.794993,0.045622,0.310563
0.799993,0.045902,0.310722
0.804993,0.077451,0.308309
0.809993,0.077949,0.308441
0.814993,0.079156,0.308641
0.819993,0.079716,0.308776
0.824993,0.080961,0.308980
0.829993,0.081859,0.309117
0.834993,0.083055,0.309325
0.839993,0.083828,0.309465
0.844993,0.084999,0.309677
0.849993,0.085798,0.309819
0.854993,0.086999,0.310036
0.859993,0.087733,0.310182
0.864992,0.088921,0.310402
0.869992,0.089679,0.310551
0.874992,0.090851,0.310777
0.879992,0.091651,0.310929
0.884992,0.092804,0.311159
0.889992,0.093545,0.311314
0.894992,0.094705,0.311550
0.899992,0.095548,0.311708
0.904992,0.087952,0.309281
0.909992,0.088679,0.309413
0.914992,0.089675,0.309612
0.919992,0.090335,0.309747
0.924992,0.091350,0.309950
0.929992,0.092024,0.310087
0.934992,0.093004,0.310294
0.939991,0.093676,0.310433
0.944991,0.094672,0.310645
0.949991,0.095305,0.310787
0.954991,0.096234,0.311003
0.959991,0.096769,0.311148
0.964991,0.097655,0.311369
0.969991,0.098246,0.311517
0.974991,0.099112,0.311742
0.979991,0.099710,0.311893
0.984991,0.100574,0.312123
0.989991,0.101082,0.312278
0.994991,0.101897,0.312513
0.999991,0.102559,0.312671
1.004991,0.113700,0.310230
1.009991,0.114463,0.310361
1.014991,0.115543,0.310560
1.019992,0.116201,0.310694
1.024992,0.117286,0.310896
1.029992,0.117982,0.311033
1.034992,0.119007,0.311240
1.039993,0.119707,0.311379
1.044993,0.120785,0.311589
1.049993,0.121480,0.311731
1.054993,0.122545,0.311947
1.059994,0.123262,0.312091
1.064994,0.124318,0.312311
1.069994,0.124947,0.312459
1.074994,0.125987,0.312683
1.079994,0.126712,0.312834
1.084995,0.127733,0.313064
1.089995,0.128349,0.313218
1.094995,0.129314,0.313452
1.099995,0.129911,0.313610
1.104996,0.137720,0.311155
1.109996,0.137876,0.311286
1.114996,0.138451,0.311485
1.119996,0.138893,0.311618
1.124997,0.139522,0.311820
1.129997,0.139970,0.311956
1.134997,0.140661,0.312162
1.139997,0.141106,0.312301
1.144997,0.141754,0.312511
1.149998,0.142140,0.312653
1.154998,0.142746,0.312867
1.159998,0.143112,0.313012
1.164998,0.143749,0.313231
1.169999,0.144159,0.313378
1.174999,0.144801,0.313602
1.179999,0.145211,0.313753
1.184999,0.145803,0.313981
1.190000,0.146014,0.314135
1.195000,0.146565,0.314368
1.200000,0.146989,0.314526
1.205000,0.143637,0.312059
1.210001,0.144056,0.312189
1.215001,0.144329,0.312387
1.220001,0.144449,0.312520
1.225001,0.144697,0.312721
1.230001,0.144900,0.312857
1.235002,0.145109,0.313063
1.240002,0.145232,0.313201
1.245002,0.145533,0.313411
1.250002,0.145753,0.313552
1.255003,0.146081,0.313766
1.260003,0.146350,0.313910
1.265003,0.146677,0.314128
1.270003,0.146756,0.314275
1.275004,0.147075,0.314498
1.280004,0.147241,0.314649
1.285004,0.147561,0.314876
1.290004,0.147747,0.315030
1.295004,0.148026,0.315263
1.300005,0.148182,0.315419
1.305005,0.130199,0.312940
1.310005,0.129956,0.313070
1.315005,0.129506,0.313267
1.320006,0.129174,0.313400
1.325006,0.128686,0.313601
1.330006,0.128347,0.313736
1.335006,0.127846,0.313941
1.340007,0.127516,0.314079
1.345007,0.127002,0.314288
1.350007,0.126640,0.314429
1.355007,0.126127,0.314642
1.360008,0.125728,0.314786
1.365008,0.125162,0.315004
1.370008,0.124729,0.315150
1.375008,0.124129,0.315373
1.380008,0.123701,0.315523
1.385009,0.123086,0.315750
1.390009,0.122650,0.315903
1.395009,0.122049,0.316135
1.400009,0.121629,0.316291
1.405010,0.121876,0.313800
1.410010,0.121698,0.313929
1.415010,0.121531,0.314126
1.420010,0.121515,0.314258
1.425011,0.121311,0.314459
1.430011,0.121141,0.314594
1.435011,0.120987,0.314798
1.440011,0.120885,0.314936
1.445011,0.120732,0.315144
1.450012,0.120584,0.315285
1.455012,0.120403,0.315497
1.460012,0.120234,0.315641
1.465012,0.120035,0.315858
1.470013,0.119665,0.316004
1.475013,0.119398,0.316226
1.480013,0.119139,0.316375
1.485013,0.118854,0.316602
1.490014,0.118797,0.316754
1.495014,0.118528,0.316986
1.500014,0.118450,0.317142
1.505014,0.151367,0.314638
1.510015,0.151742,0.314768
1.515015,0.152294,0.314964
1.520015,0.152823,0.315096
1.525015,0.153304,0.315296
1.530015,0.153548,0.315430
1.535016,0.154068,0.315634
1.540016,0.154415,0.315771
1.545016,0.154964,0.315979
1.550016,0.155322,0.316119
1.555017,0.155846,0.316331
1.560017,0.155991,0.316474
1.565017,0.156446,0.316691
1.570017,0.156901,0.316837
1.575018,0.157354,0.317058
1.580018,0.157524,0.317207
1.585018,0.157899,0.317433
1.590018,0.158114,0.317585
1.595019,0.158475,0.317816
1.600019,0.158864,0.317972
1.605019,0.187804,0.315456
1.610019,0.188572,0.315586
1.615019,0.189751,0.315781
1.620020,0.190545,0.315913
1.625020,0.191696,0.316112
1.630020,0.192473,0.316246
1.635020,0.193628,0.316450
1.640021,0.194391,0.316586
1.645021,0.195519,0.316794
1.650021,0.196231,0.316933
1.655021,0.197251,0.317145
1.660022,0.197855,0.317288
1.665022,0.198783,0.317504
1.670022,0.199424,0.317649
1.675022,0.200349,0.317870
1.680022,0.201037,0.318018
1.685023,0.202030,0.318244
1.690023,0.202659,0.318396
1.695023,0.203650,0.318626
1.700023,0.204315,0.318781
1.705024,0.179083,0.316254
1.710024,0.179500,0.316383
1.715024,0.180135,0.316578
1.720024,0.180566,0.316710
1.725025,0.181194,0.316908
1.730025,0.181592,0.317042
1.735025,0.182186,0.317245
1.740025,0.182576,0.317381
1.745026,0.183155,0.317588
1.750026,0.183514,0.317728
1.755026,0.184045,0.317939
1.760026,0.184413,0.318081
1.765026,0.184965,0.318296
1.770027,0.185345,0.318442
1.775027,0.185876,0.318662
1.780027,0.186243,0.318810
1.785027,0.186766,0.319035
1.790028,0.187163,0.319186
1.795028,0.187701,0.319416
1.800028,0.187993,0.319570
1.805028,0.166240,0.317033
1.810029,0.166475,0.317161
1.815029,0.167008,0.317356
1.820029,0.167331,0.317487
1.825029,0.167782,0.317685
1.830029,0.168041,0.317819
1.835030,0.168415,0.318021
1.840030,0.168652,0.318157
1.845030,0.168963,0.318363
1.850030,0.169130,0.318502
1.855031,0.169435,0.318713
1.860031,0.169673,0.318855
1.865031,0.169969,0.319070
1.870031,0.170114,0.319214
1.875032,0.170347,0.319434
1.880032,0.170388,0.319582
1.885032,0.170570,0.319806
1.890032,0.170608,0.319957
1.895033,0.170800,0.320186
1.900033,0.170929,0.320340
1.905033,0.161061,0.317792
1.910033,0.160539,0.317920
1.915033,0.160360,0.318114
1.920034,0.160252,0.318245
1.925034,0.160039,0.318443
1.930034,0.159874,0.318576
1.935034,0.159640,0.318778
1.940035,0.159489,0.318913
1.945035,0.159261,0.319119
1.950035,0.159133,0.319258
1.955035,0.158881,0.319468
1.960036,0.158609,0.319609
1.965036,0.158291,0.319824
1.970036,0.158003,0.319968
1.975036,0.157602,0.320187
1.980036,0.157118,0.320335
1.985037,0.156656,0.320558
1.990037,0.156647,0.320709
1.995037,0.156195,0.320938
2.000037,0.155628,0.321092
2.005037,0.189102,0.318532
2.010037,0.189168,0.318660
2.015036,0.188958,0.318854
2.020036,0.188715,0.318984
2.025036,0.188466,0.319182
2.030035,0.188276,0.319314
2.035035,0.187982,0.319516
2.040035,0.187784,0.319651
2.045034,0.187488,0.319856
2.050034,0.187297,0.319995
2.055033,0.186981,0.320204
2.060033,0.186735,0.320345
2.065033,0.186384,0.320559
2.070032,0.186250,0.320704
2.075032,0.185944,0.320922
2.080032,0.185792,0.321069
2.085031,0.185500,0.321292
2.090031,0.185212,0.321443
2.095031,0.184908,0.321671
2.100030,0.184774,0.321824
2.105030,0.157731,0.319254
2.110029,0.157755,0.319382
2.115029,0.157799,0.319575
2.120029,0.157902,0.319705
2.125028,0.157952,0.319902
2.130028,0.157976,0.320035
2.135028,0.157998,0.320235
2.140027,0.158008,0.320371
2.145027,0.158000,0.320575
2.150027,0.158021,0.320713
2.155026,0.158022,0.320922
2.160026,0.158016,0.321063
2.165025,0.158008,0.321277
2.170025,0.158124,0.321420
2.175025,0.158151,0.321638
2.180024,0.158004,0.321785
2.185024,0.157983,0.322008
2.190024,0.157890,0.322158
2.195023,0.157834,0.322385
2.200023,0.157904,0.322539
2.205023,0.184809,0.319959
2.210022,0.184993,0.320086
2.215022,0.185354,0.320278
2.220021,0.185609,0.320408
2.225021,0.185918,0.320605
2.230021,0.186088,0.320737
2.235020,0.186376,0.320937
2.240020,0.186560,0.321072
2.245020,0.186864,0.321277
2.250019,0.187070,0.321414
2.255019,0.187353,0.321623
2.260019,0.187556,0.321763
2.265018,0.187819,0.321976
2.270018,0.188004,0.322120
2.275017,0.188294,0.322337
2.280017,0.188446,0.322484
2.285017,0.188704,0.322706
2.290016,0.188832,0.322855
2.295016,0.189065,0.323082
2.300016,0.189256,0.323235
2.305015,0.227641,0.320645
2.310015,0.228048,0.320772
2.315015,0.228483,0.320964
2.320014,0.228791,0.321094
2.325014,0.229213,0.321290
2.330014,0.229485,0.321422
2.335013,0.229891,0.321622
2.340013,0.230157,0.321756
2.345012,0.230519,0.321960
2.350012,0.230732,0.322098
2.355012,0.231089,0.322306
2.360011,0.231350,0.322446
2.365011,0.231668,0.322659
2.370011,0.231847,0.322802
2.375010,0.232141,0.323019
2.380010,0.232405,0.323165
2.385010,0.232716,0.323387
2.390009,0.233127,0.323536
2.395009,0.233479,0.323762
2.400008,0.233708,0.323915
2.405008,0.224586,0.321315
2.410008,0.225032,0.321442
2.415007,0.225699,0.321633
2.420007,0.226209,0.321763
2.425007,0.226794,0.321958
2.430006,0.227146,0.322090
2.435006,0.227759,0.322289
2.440006,0.228160,0.322424
2.445005,0.228759,0.322627
2.450005,0.229050,0.322764
2.455004,0.229567,0.322972
2.460004,0.229992,0.323112
2.465004,0.230548,0.323324
2.470003,0.230936,0.323467
2.475003,0.231498,0.323683
2.480003,0.231890,0.323829
2.485002,0.232437,0.324050
2.490002,0.232679,0.324199
2.495002,0.233182,0.324425
2.500001,0.233538,0.324578
2.505001,0.184422,0.321968
2.510000,0.184423,0.322094
2.515000,0.183980,0.322286
2.520000,0.183545,0.322415
2.524999,0.183093,0.322610
2.529999,0.182844,0.322741
2.534999,0.182292,0.322940
2.539998,0.181913,0.323074
2.544998,0.181325,0.323277
2.549998,0.180891,0.323414
2.554997,0.180246,0.323621
2.559997,0.179795,0.323761
2.564996,0.179124,0.323973
2.569996,0.178565,0.324115
2.574996,0.177835,0.324331
2.579995,0.177737,0.324477
2.584995,0.177083,0.324697
2.589995,0.176604,0.324846
2.594994,0.175919,0.325072
2.599994,0.175352,0.325224
2.604994,0.205945,0.322604
2.609993,0.205694,0.322731
2.614993,0.205406,0.322922
2.619992,0.205284,0.323050
2.624992,0.204967,0.323245
2.629992,0.204701,0.323376
2.634991,0.204399,0.323575
2.639991,0.204200,0.323709
2.644991,0.203906,0.323911
2.649990,0.203506,0.324048
2.654990,0.203040,0.324255
2.659990,0.202924,0.324394
2.664989,0.202488,0.324605
2.669989,0.202009,0.324747
2.674989,0.201522,0.324963
2.679988,0.201180,0.325108
2.684988,0.200681,0.325329
2.689987,0.200285,0.325477
2.694987,0.199768,0.325702
2.699987,0.199181,0.325854
2.704986,0.211552,0.323225
2.709986,0.211601,0.323351
2.714986,0.211588,0.323542
2.719985,0.211569,0.323670
2.724985,0.211518,0.323864
2.729985,0.211419,0.323995
2.734984,0.211326,0.324194
2.739984,0.211260,0.324327
2.744983,0.211136,0.324529
2.749983,0.211016,0.324666
2.754983,0.210821,0.324872
2.759982,0.210671,0.325011
2.764982,0.210443,0.325222
2.769982,0.210231,0.325364
2.774981,0.209948,0.325579
2.779981,0.209789,0.325724
2.784981,0.209484,0.325944
2.789980,0.209430,0.326092
2.794980,0.209142,0.326317
2.799979,0.208890,0.326468
2.804979,0.236170,0.323830
2.809979,0.236482,0.323956
2.814978,0.236687,0.324146
2.819978,0.236738,0.324274
2.824978,0.236982,0.324468
2.829977,0.237174,0.324599
2.834977,0.237411,0.324797
2.839977,0.237539,0.324930
2.844976,0.237725,0.325132
2.849976,0.237882,0.325268
2.854975,0.238098,0.325474
2.859975,0.238237,0.325613
2.864975,0.238440,0.325823
2.869974,0.238577,0.325965
2.874974,0.238794,0.326180
2.879974,0.238958,0.326325
2.884973,0.239205,0.326544
2.889973,0.239438,0.326692
2.894973,0.239713,0.326916
2.899972,0.239886,0.327067
2.904972,0.212559,0.324420
2.909971,0.212544,0.324546
2.914971,0.212342,0.324736
2.919971,0.212145,0.324864
2.924970,0.211915,0.325057
2.929970,0.211711,0.325188
2.934970,0.211454,0.325385
2.939969,0.211295,0.325518
2.944969,0.211079,0.325720
2.949969,0.210998,0.325855
2.954968,0.210763,0.326061
2.959968,0.210556,0.326200
2.964967,0.210319,0.326410
2.969967,0.210124,0.326551
2.974967,0.209890,0.326765
2.979966,0.209714,0.326910
2.984966,0.209492,0.327129
2.989966,0.209276,0.327276
2.994965,0.209027,0.327500
2.999965,0.208929,0.327651
3.004965,0.250338,0.324996
3.009964,0.250387,0.325121
3.014964,0.250401,0.325310
3.019964,0.250301,0.325438
3.024963,0.250356,0.325631
3.029963,0.250449,0.325762
3.034962,0.250442,0.325959
3.039962,0.250444,0.326091
3.044962,0.250488,0.326293
3.049961,0.250536,0.326428
3.054961,0.250619,0.326633
3.059961,0.250624,0.326772
3.064960,0.250664,0.326981
3.069960,0.250747,0.327122
3.074960,0.250841,0.327336
3.079959,0.250938,0.327481
3.084959,0.251064,0.327699
3.089958,0.251180,0.327846
3.094958,0.251314,0.328070
3.099958,0.251369,0.328220
3.104957,0.231067,0.325556
3.109957,0.230881,0.325681
3.114957,0.230536,0.325871
3.119956,0.230313,0.325998
3.124956,0.229951,0.326191
3.129956,0.229714,0.326321
3.134955,0.229354,0.326518
3.139955,0.229102,0.326650
3.144954,0.228744,0.326851
3.149954,0.228498,0.326986
3.154954,0.228119,0.327191
3.159953,0.227854,0.327329
3.164953,0.227457,0.327538
3.169953,0.227175,0.327679
3.174952,0.226802,0.327893
3.179952,0.226595,0.328037
3.184952,0.226257,0.328255
3.189951,0.226071,0.328402
3.194951,0.225717,0.328625
3.199950,0.225464,0.328775
3.204950,0.208032,0.326103
3.209950,0.207930,0.326228
3.214949,0.207818,0.326417
3.219949,0.207707,0.326544
3.224949,0.207581,0.326736
3.229948,0.207500,0.326866
3.234948,0.207393,0.327063
3.239948,0.207310,0.327195
3.244947,0.207216,0.327395
3.249947,0.207151,0.327530
3.254946,0.207065,0.327735
3.259946,0.206971,0.327873
3.264946,0.206885,0.328081
3.269945,0.206834,0.328222
3.274945,0.206753,0.328435
